Year,Species,Site,Eurosta,type,Full,Plant #,stem.height,stem.width,stem.pub.length,stem.pub.dens,leaf.area,N.teeth,leaf.serration,leaf.dent.depth,leaf.pub.dens,region,region2,number,Changed
2014,A,SS01,a,altG,T,1,87.3,4,1,484,237.9,6,7.692307692,1.6,17.5,SS,SS,1,
2014,A,SS01,a,altG,T,2,85.7,3.5,1.13,614.3,595,5,3.571428571,1.5,22,SS,SS,1,220
2014,A,SS01,a,altG,T,3,102.6,3.8,0.94,134,544,4,2.5,1.7,6,SS,SS,1,
2014,A,SS01,a,altG,T,4,77.7,2.8,0.94,72,274.4,3,2.678571429,1.7,5,SS,SS,1,
2014,R,SS01,a,rugG,T,1,72,3.1,3.56,107.1,858.6,9,8.490566038,3.4,30,SS,SS,1,
2014,R,SS01,a,rugG,T,2,48.2,2.2,3,61.7,436.6,7,9.459459459,2.7,44,SS,SS,1,
2014,R,SS01,a,rugG,T,3,51.5,2,3.38,100,594,8,8.888888889,2.5,32,SS,SS,1,
2014,R,SS01,a,rugG,T,4,83.4,4.3,2.25,105.7,303.8,4,6.451612903,2.9,18,SS,SS,1,
2014,R,SS01,a,rugG,T,5,87.7,3.9,2.69,57.8,918,13,12.03703704,3.5,26,SS,SS,1,
2014,R,SS01,a,rugG,T,6,109.6,4.5,4.94,90,501.6,10,11.36363636,3,52,SS,SS,1,
2014,R,SS01,a,rugG,T,7,104.4,3.3,3.81,277.1,479.7,8,10.25641026,2.8,62,SS,SS,1,
2014,R,SS01,a,rugG,T,8,116.5,5.1,6.75,80,183,5,8.333333333,1.1,18,SS,SS,1,
2014,R,SS01,a,rugG,T,9,64.1,2.8,4.81,48.9,1260,11,7.333333333,5.5,24,SS,SS,1,
2014,R,SS01,a,rugG,T,10,95.6,3.1,3.88,216.7,976.8,7,5.303030303,2.6,30,SS,SS,1,
2014,R,SS01,a,rugG,T,11,89.9,2.8,4.75,55,639,5,5.555555556,2.5,34,SS,SS,1,
2014,R,SS01,a,rugG,T,12,60.1,3,4.38,77.1,478.8,9,12.5,1.5,70,SS,SS,1,
2014,A,SS01,una,altU,T,1,94,3.4,0.94,104,467.5,5,4.545454545,1.9,6,SS,SS,1,
2014,A,SS01,una,altU,T,2,92.2,3.9,0.75,176,180,1,1.388888889,1.2,2.5,SS,SS,1,
2014,A,SS01,una,altU,T,3,80.7,3.4,1,182.5,195,3,3.846153846,2,22.5,SS,SS,1,
2014,A,SS01,una,altU,T,4,112.6,5.5,1.25,320,188.7,3,4.054054054,1.2,60,SS,SS,1,
2014,A,SS01,una,altU,T,5,89.5,6.4,1,188.6,258.3,1,1.219512195,1,28,SS,SS,1,
2014,A,SS01,una,altU,T,6,109,6.8,1,283.3,225,5,5.555555556,2.1,5.7,SS,SS,1,
2014,A,SS01,una,altU,T,7,95.3,4.6,1.5,160,681.6,7,4.929577465,2.5,0,SS,SS,1,
2014,A,SS01,una,altU,T,8,56.1,2.1,0.5,350,143.5,0,0,0,64,SS,SS,1,
2014,A,SS01,una,altU,T,9,75.7,3.4,1.06,293.3,688.5,4,2.352941176,1.4,10,SS,SS,1,
2014,A,SS01,una,altU,T,10,66.3,3.7,0.81,135.6,103.6,1,1.785714286,1,16.7,SS,SS,1,
2014,A,SS01,una,,F,11,76.5,,,,0,,,,,SS,SS,1,
2014,A,SS01,una,altU,T,12,96.3,4.6,1.06,142.2,338.4,0,0,0,44,SS,SS,1,
2014,R,SS01,una,,F,1,59.2,,,,0,,,,,SS,SS,1,
2014,R,SS01,una,,F,2,50,,,,0,,,,,SS,SS,1,
2014,R,SS01,una,rugU,T,3,40.5,2.1,3.31,148,589.6,13,14.77272727,2.7,30,SS,SS,1,
2014,R,SS01,una,,F,4,65.6,,,,0,,,,,SS,SS,1,
2014,R,SS01,una,,F,5,93.5,,,,0,,,,,SS,SS,1,
2014,R,SS01,una,,F,6,85.6,,,,0,,,,,SS,SS,1,
2014,R,SS01,una,,F,7,83,,,,0,,,,,SS,SS,1,
2014,R,SS01,una,,F,8,35.2,,,,0,,,,,SS,SS,1,
2014,R,SS01,una,,F,9,67,,,,0,,,,,SS,SS,1,
2014,R,SS01,una,,F,10,60.6,,,,0,,,,,SS,SS,1,
2014,R,SS01,una,,F,11,110.5,,,,0,,,,,SS,SS,1,
2014,R,SS01,una,,F,12,77.6,,,,0,,,,,SS,SS,1,
